code,name,qty,cost,rate,thb_price,price
8859410000000,ກີນນີ່ຊາຂຽວ,,,,,4000
8859410000000,ກີນນີ່ຊາຂຽວ 12 ຫໍ່,,,,,37000
8859410000000,ກີນນີ່ຊີດ,,,,,4000
8859410000000,ກີນນີ່ຊີດ 12 ຫໍ່,,,,,37000
8859410000000,ກີນນີ່ບູເບີລີ່,,,,,4000
8859410000000,ກີນນີ່ບູເບີລີ່ 12 ຫໍ່,,,,,37000
8859410000000,ກີນນີ່ສະຕໍ,,,,,4000
8859410000000,ກີນນີ່ສະຕໍ 12 ຫໍ່,,,,,37000
8850180000000,ກຸກ 1.9ລິດ,,,,,75000
8850180000000,ກຸກ 1ລິດ,,,,,38000
6933740000000,ຂວດນົມສະຕິກ,,,,,4000
6933740000000,ຂວດນົມສະຕິກ 12 ອັນ,,,,,37000
ສ້າງບາໂຄດ,ຂອງຫລີ້ນແບບແຜງ 5ບາດ 12 ອັນ,,,,,4000
ສ້າງບາໂຄດ,ຂອງຫລີ້ນແບບແຜງ 5ບາດ 12 ອັນ,,,,,37000
8859330000000,ຂະໜົມຂວດແຖມແວນ 12 ແກ້ວ,,,,,37000
8859330000000,ຂະໜົມຂວດແຖມແວນ 12 ແກ້ວ,,,,,37000
8850720000000,ຂະໜົມຕາວັນສາຫລ່າຍ 5ບາດ,,,,,4000
8850720000000,ຂະໜົມຕາວັນສາຫລ່າຍ 5ບາດ 12 ຫໍ່,,,,,37000
8850720000000,ຂະໜົມຕາວັນຫມຶກສາມລົດ 5ບາດ,,,,,4000
8850720000000,ຂະໜົມຕາວັນຫມຶກສາມລົດ 5ບາດ 12 ຫໍ່,,,,,40000
25127,ຂະໜົມລວມ 4000ກີບ,,,,,4000
6971620000000,ຂະໜົມຫົວໃຈ,,,,,4000
8850630000000,ຂະໜົມຫົວໃຈ,,,,,4000
8850940000000,ຂະໜົມເຈົ້າຍິງ,,,,,5000
25926,ຂະໜົມເຈົ້າຍິງ 12 ຫໍ່,,,,,37000
