code,proname,qty,cost,rate,thb_price,price
ກາໂຕະສະຕໍບໍລີ່ 8ແພັກ,12018,,,,,247000
ກາໂຕະສົ້ມ,8.85062E+12,,,,,10000
ກາໂຕະສົ້ມ 6ຕຸກ,8.85062E+12,,,,,35000
ກາໂຕະໝາກໂມ,8.85062E+12,,,,,7000
ກາໂຕະໝາກໂມ 6ຕຸກ,8.85062E+12,,,,,35000
ກາໂຕະແຕງໂມ,8.85062E+12,,,,,7000
ກາໂຕະແຕງໂມ 6ຕຸກ,12022,,,,,33000
ກາໂຕະແຕງໂມ 8ແພັກ,12021,,,,,247000
ກຳມີ້ແຄນດີ້ລົດຫມາກໄມ້,6.93846E+12,,,,,4000
ກຳມີ້ແຄນດີ້ລົດຫມາກໄມ້ 12 ອັນ,6.93846E+12,,,,,37000
ກຳມີ້ແຄນດີ້ລົດຫມາກໄມ້ລວມ 12 ອັນ,6.91029E+12,,,,,37000
ກຳມີ້ແຄນດີ້ລົດຫມາກໄມ້ລວມ 12 ອັນ,6.91029E+12,,,,,37000
ກຳມີ່ແພນດ້າ,8.85043E+12,,,,,4000
ກຳມີ່ໂລຂຽວ,8.85971E+12,,,,,4000
ກຳມີ່ໂລສະຕໍບໍລີ່,8.85971E+12,,,,,4000
ກຳມີ່ໂລສະຕໍບໍລີ່  12 ຫໍ່,8.85971E+12,,,,,37000
ກີນນີ່ຊາຂຽວ,8.85941E+12,,,,,4000
ກີນນີ່ຊາຂຽວ 12 ຫໍ່,8.85941E+12,,,,,37000
ກີນນີ່ຊີດ,8.85941E+12,,,,,4000
ກີນນີ່ຊີດ 12 ຫໍ່,8.85941E+12,,,,,37000
ກີນນີ່ບູເບີລີ່,8.85941E+12,,,,,4000
ກີນນີ່ບູເບີລີ່ 12 ຫໍ່,8.85941E+12,,,,,37000
ກີນນີ່ສະຕໍ,8.85941E+12,,,,,4000
ກີນນີ່ສະຕໍ 12 ຫໍ່,8.85941E+12,,,,,37000
ກຸກ 1.9ລິດ,8.85018E+12,,,,,75000
ກຸກ 1ລິດ,8.85018E+12,,,,,38000
ຂວດນົມສະຕິກ,6.93374E+12,,,,,4000
ຂວດນົມສະຕິກ 12 ອັນ,6.93374E+12,,,,,37000
ຂອງຫລີ້ນແບບແຜງ 5ບາດ 12 ອັນ,ສ້າງບາໂຄດ,,,,,4000
ຂອງຫລີ້ນແບບແຜງ 5ບາດ 12 ອັນ,ສ້າງບາໂຄດ,,,,,37000
ຂະໜົມຂວດແຖມແວນ 12 ແກ້ວ,8.85933E+12,,,,,37000
ຂະໜົມຂວດແຖມແວນ 12 ແກ້ວ,8.85933E+12,,,,,37000
ຂະໜົມຕາວັນສາຫລ່າຍ 5ບາດ,8.85072E+12,,,,,4000
ຂະໜົມຕາວັນສາຫລ່າຍ 5ບາດ 12 ຫໍ່,8.85072E+12,,,,,37000
ຂະໜົມຕາວັນຫມຶກສາມລົດ 5ບາດ,8.85072E+12,,,,,4000
ຂະໜົມຕາວັນຫມຶກສາມລົດ 5ບາດ 12 ຫໍ່,8.85072E+12,,,,,40000
ຂະໜົມລວມ 4000ກີບ,25127,,,,,4000
ຂະໜົມຫົວໃຈ,6.97162E+12,,,,,4000
ຂະໜົມຫົວໃຈ,8.85063E+12,,,,,4000
ຂະໜົມເຈົ້າຍິງ,8.85094E+12,,,,,5000
ຂະໜົມເຈົ້າຍິງ 12 ຫໍ່,25926,,,,,37000
ຂະໜົມເມຈິກສີແດງ 2 ບາດ 24ຖົງ,8.85031E+12,,,,,27000
ຂະໜົມແຫວນ,8.85933E+12,,,,,4000
ຂະໜົມແອັດແລນເຈີ,25931,,,,,4000
ຂະໜົມແອັດແລນເຈີ 12 ຫໍ່,25930,,,,,37000
ຂະໜົມໂດເລມອນ,8.85094E+12,,,,,4000
ຂະໜົມໂດເລມອນ 12 ຫໍ່,8.85094E+12,,,,,37000
ຂະໜົມໄຂ່ດຳ 12ກ້ອນ,8.93501E+12,,,,,23000
ຂະໝົມລວມ 12ຫໍ່,25255,,,,,40000
ສະວີງ,8.85446E+12,,,,,4000
ຂຸ່ຍເມໂລດີ້ 12 ອັນ,8.85446E+12,,,,,37000
ໄຂ່ຫວານ,8.85043E+12,,,,,4000
ໄຂ່ຫວານ 12 ຫໍ່,8.85043E+12,,,,,37000
ຄລີໂອ ນົມ,8.85043E+12,,,,,4000
ຄລີໂອ ນົມ 12 ຫໍ່,8.85043E+12,,,,,37000
ຄອດເນັດໂຕ ຄລາສສິກ ຊັອກໂກເລີບ,8.85193E+12,,,,,17000
ຄອດເນັດໂຕ ຄລາສສິກ ວະນິລາ,8.85193E+12,,,,,17000
ຄອດເນັດໂຕ ຄລາສສິກ ເຢວສະຕໍບໍລີ່,8.85193E+12,,,,,17000
ຄອດເນັດໂຕ ປັອບຄອນ,8.85193E+12,,,,,17000
ຄອດເນັດໂຕຟາຍ,8.85193E+12,,,,,17000
ຄອນຊີນເລີ,6.97397E+12,,,,,25000
ຄອນປັອບ 5ບາດ,8.85041E+12,,,,,4000
ຄອນເນ່ຊີດ 20ບາດ,8.85173E+12,,,,,17000
ຄອນເນ່ດັ້ງເດີມ 20ບາດ,8.85173E+12,,,,,17000
ຄອນເນີ່ລົດຊີດ  5ບາດ,8.85173E+12,,,,,4000
ຄອນເນີ່ລົດຊີດ 5ບາດ 12 ຫໍ່,8.85173E+12,,,,,42000
ຄອນເນີ່ລົດດັ້ງເດີມ  5ບາດ,8.85173E+12,,,,,4000
ຄອນເນີ່ລົດດັ້ງເດີມ 5ບາດ 12 ຫໍ່,8.85173E+12,,,,,42000
ຄອບຂຽວ 20ບາດ,8.85042E+12,,,,,15000
ຄອບດຳ  5ບາດ,8.85042E+12,,,,,4000
ຄອບດຳ  5ບາດ 12 ຫໍ່,8.88504E+13,,,,,37000
ຄອບດຳ 20ບາດ,8.85042E+12,,,,,15000
ຄອບຟ້າ  5ບາດ 12,8.85042E+12,,,,,4000
ຄອບຟ້າ  5ບາດ 12 ຫໍ່,8.88504E+13,,,,,37000
ຄອບຟ້າ 20ບາດ,8.85042E+12,,,,,15000
ຄອມຟອດຊາກຸລະ 12ຊອງ,2345,,,,,14000
ຄອມຟອດຊາກຸລະ 1ຊອງ,8.85193E+12,,,,,2000
ຄອມຟອດຊາກຸລະ 24ຊອງ,8.85193E+12,,,,,25000
ຄອມຟອດນ້ຳດຽວເທລະພີ 12ຊອງ,4567,,,,,14000
ຄອມຟອດນ້ຳດຽວເທລະພີ 24ຊອງ,8.85193E+12,,,,,25000
ຄອມຟອດບົວຟໍລັດເຟດ,8.85193E+12,,,,,2000
ຄອມຟອດບົວຟໍລັດເຟດ 12 ຊອງ,25009,,,,,25000
ຄອມຟອດບົວຟໍລັດເຟດ 12ຊອງ,12227,,,,,14000
ຄອມຟອດບົວຟໍລັດເຟດ 24ຊອງ,8.85193E+12,,,,,28000
ຄອມຟອດບົວຟໍລັດເຟດ12 ແພັກ,12225,,,,,283000
ຄອມຟອດຟ້າເດລີ່ເຟດ,8.85193E+12,,,,,2000
ຄອມຟອດຟ້າເດລີ່ເຟດ 12 ແພັກ,12229,,,,,295000
ຄອມຟອດຟ້າເດລີ່ເຟດ 12ຊອງ,12231,,,,,14000
ຄອມຟອດຟ້າເດລີ່ເຟດ 12ຊອງ,25024,,,,,14000
ຄອມຟອດຟ້າເດລີ່ເຟດ 24ຊອງ,8.85193E+12,,,,,28000
ຄອມຟອດອາໂຣມາເທລະພີ່,8.85193E+12,,,,,2000
ຄອມຟອດອາໂຣມາເທລະພີ່ 12 ແພັກ,12233,,,,,283000
ຄອມຟອດອາໂຣມາເທລະພີ່ 12ຊອງ,12235,,,,,14000
ຄອມຟອດອາໂຣມາເທລະພີ່ 24ຊອງ,12234,,,,,26000
ຄອມຟອດເດຊີ່ແລະລິນລີ່,8.85193E+12,,,,,2000
ຄອມຟອດເດຊີ່ແລະລິນລີ່ 12ຊອງ,12243,,,,,14000
ຄອມຟອດເດຊີ່ແລະລິນລີ່ 24ຊອງ,8.85193E+12,,,,,26000
ຄອມຟອດແກລມເມີລັດ,8.85193E+12,,,,,25000
ຄອມຟອດແກລມເມີລັດ 1 ຊອງ,8.85193E+12,,,,,2000
ຄອມຟອດແກລມເມີລັດ 12 ຊອງ,47878,,,,,14000
ຄອມຟອດແອນຊານ,8.85193E+12,,,,,2000
ຄອມຟອດແອນຊານ 12ຊອງ,12239,,,,,14000
ຄອມຟອດແອນຊານ 12ແພັກ,12237,,,,,283000
ຄອມຟອດແອນຊານ 24ຊອງ,8.85193E+12,,,,,26000
ຄອມຟອດແອັກທີບເຟດ,8.85193E+12,,,,,2000
ຄອມຟອດແອັກທີບເຟດ 12ແພັກ,12221,,,,,283000
ຄອມຟອດແອັກທີບເຟດ 24ຊອງ,8.85193E+12,,,,,26000
ຄອມຟອດແອັກທີບເຟດ12ຊອງ,12223,,,,,14000
ຄະນໍ 100ກັມ,8.85014E+12,,,,,12000
ຄະນໍ 17ກັມ,8.85014E+12,,,,,4000
ຄະນໍ 17ກັມ 12 ຫໍ່,24947,,,,,27000
ຄະນໍ 425ກັມ,8.85014E+12,,,,,40000
ຄະນໍ 7 ກັມ 10 ຖົງ,8.85025E+12,,,,,70000
ຄະນໍ 800ກັມ,8.85014E+12,,,,,72000
ຄະນໍກ້ອນຕົ້ມຈືດ,8.85014E+12,,,,,5000
ຄະນໍກ້ອນຕົ້ມຍຳ,8.85014E+12,,,,,5000
ຄາບູກິ,8.85544E+12,,,,,4000
ຄາບູກິ,8.85544E+12,,,,,4000
ຄາບູກິ 12 ຊອງ,8.85544E+12,,,,,37000
ຄາບູກິ 12 ຊອງ,8.85544E+12,,,,,37000
ຄ່າບໍລິການກົດເງິນຜ່ານຮ້ານ,25195,,,,,1000
ຄາລາບາວ,8.85579E+12,,,,,9000
ຄາເວຍເບບີ້ອອຍ100ມລ,8.85072E+12,,,,,17000
ຄິມໂອໂຮ,26121,,,,,45000
ຄິວເພັດ ຈູລຽດໂລດ 60 ມລ,8.85008E+12,,,,,35000
ຄິວເພັດຟູໄນສະລິບແບບຊອງ,8.85008E+12,,,,,34000
ຄິວເພັດຟູໄນສະລິບແບບຊອງ 6ຊອງ,6.88501E+13,,,,,196000
ຄີມຂັດຜິວສະຕໍບໍລີ່ 250ກັມ,6.97205E+12,,,,,30000
ຄີມຍັນຮີສີຂຽວແບບກ່ອງ,13849,,,,,50000
ຄີມຍັນຮີສີຟ້າແບບກ່ອງ,13848,,,,,50000
ຄີມອາບນ້ຳດີຢ່າ765ມລ,8.85143E+12,,,,,56000
ຄີມອາບນ້ຳບີໄນຂຽວໃຫຍ່ 450ມລ,8.85199E+12,,,,,46000
ຄີມອາບນ້ຳບີໄນບົວນ້ອຍ 170ມລ,8.85199E+12,,,,,25000
ຄີມອາບນ້ຳບີໄນບົວໃຫຍ່ 450ມລ,8.85199E+12,,,,,46000
ຄີມອາບນ້ຳບີໄນລູກພີເ170ມລ,8.85199E+12,,,,,30000
ຄີມອາບນ້ຳບີໄນແດງນ້ອຍ170ມລ,8.85199E+12,,,,,26000
ຄີມອາບນ້ຳບີໄນແດງໃຫຍ່450ມລ,8.85199E+12,,,,,46000
ຄີມອາບນ້ຳຟຣຸດກີວີ500ມລ,6.928E+12,,,,,35000
ຄີມອາບນ້ຳຟຣຸດສະຕໍບໍລີ່500ມລ,6.928E+12,,,,,30000
ຄີມອາບນ້ຳລັກ 2 ຕຸກ,8.85193E+12,,,,,95000
ຄີມອາບນ້ຳລັກສີບົວແບບຕຸກນ້ອຍ 190ມລ,8.85193E+12,,,,,26000
ຄີມອາບນ້ຳລັກສີບົວແບບຕຸກນ້ອຍ 190ມລ 3ຕຸກ,8.85193E+12,,,,,67000
ຄີມອາບນ້ຳລັກສີບົວແບບຕຸກໃຫຍ່ 450ມລ,13620,,,,,50000
ຄີມອາບນ້ຳລັກສີບົວແບບຕຸກໃຫຍ່ 450ມລ 8 ແພັກ,13618,,,,,724000
ຄີມອາບນ້ຳລັກສີບົວແບບຕຸກໃຫຍ່ 450ມລ2ກ່ອງ,8.85193E+12,,,,,97000
ຄີມອາບນ້ຳລັກສີຟ້າແບບຕຸກໃຫຍ່ 500ມລ,6.95609E+12,,,,,50000
ຄີມອາບນ້ຳລັກສີມ່ວງ 2 ຕຸກ 450ມລ,8.85193E+12,,,,,97000
ຄີມອາບນ້ຳລັກສີມ່ວງແບບຕຸກນ້ອຍ,13633,,,,,26000
ຄີມອາບນ້ຳລັກສີມ່ວງແບບຕຸກນ້ອຍ190ມລ 3ຕຸກ,13632,,,,,67000
