barcode,name,qty,ton theun,rate,thb_price,product_price_convert
8850144229247,???? 100???,,,,,12000
8850144229223,???? 17???,,,,,4000
24947,???? 17??? 12 ???,,,,,27000
8850144229254,???? 425???,,,,,40000
8850250011026,???? 7 ??? 10 ???,,,,,70000
8850144229261,???? 800???,,,,,72000
8850144206392,???????????????,,,,,5000
8850144059097,??????????????,,,,,5000
8855444004808,??????,,,,,4000
8855444005140,??????,,,,,4000
8855444005379,?????? 12 ???,,,,,37000
8855444005362,?????? 12 ???,,,,,37000
25195,?????????????????????????,,,,,1000
8855790001186,???????,,,,,9000
8850722040134,?????????????100??,,,,,17000
26121,???????,,,,,45000
8850080746792,??????? ???????? 60 ??,,,,,35000
8850080753493,??????????????????????,,,,,34000
68850080753495,?????????????????????? 6???,,,,,196000
6972049993657,?????????????????? 250???,,,,,30000
13849,????????????????????,,,,,50000
13848,????????????????????,,,,,50000
8851427015366,??????????????765??,,,,,56000
8851989080246,???????????????????? 450??,,,,,46000
8851989080109,???????????????????? 170??,,,,,25000
8851989080239,???????????????????? 450??,,,,,46000
8851989082233,???????????????????170??,,,,,30000
8851989080116,????????????????????170??,,,,,26000
8851989080383,????????????????????450??,,,,,46000
6928001828185,?????????????????500??,,,,,35000
6928001828192,??????????????????????500??,,,,,30000
8851932458580,???????????? 2 ???,,,,,95000
8851932331302,??????????????????????????? 190??,,,,,26000
8851932331265,??????????????????????????? 190?? 3???,,,,,67000
13620,??????????????????????????? 450??,,,,,50000
13618,??????????????????????????? 450?? 8 ????,,,,,724000
8851932369367,??????????????????????????? 450??2????,,,,,97000
6956088534378,??????????????????????????? 500??,,,,,50000
8851932369381,?????????????????? 2 ??? 450??,,,,,97000
13633,????????????????????????????,,,,,26000
13632,????????????????????????????190?? 3???,,,,,67000
13624,???????????????????????????? 450??8????,,,,,724000
13631,????????????????????????????,,,,,26000
13630,???????????????????????????? 190?? 3???,,,,,67000
8851932371346,???????????????????????????? 450??2????,,,,,93000
8851932371346,???????????????????????????? 450??2????,,,,,93000
13621,???????????????????????????? 450??8 ????,,,,,724000
6976068957010,?????????????????400??,,,,,30000
6941349361015,???????????????????????400??,,,,,30000
6976068957003,??????????????????400??,,,,,30000
8850006602744,???????????????450??,,,,,53000
8850006603529,????????????????? 450??,,,,,53000
26686,?????????????????? 450??,,,,,53000
8850006939109,??????????????????? 450??,,,,,53000
8850006602768,????????????????????? 450??,,,,,53000
8850002027145,?????????????????????100??,,,,,23000
8850002031463,??????? ?????? 200 ??,,,,,35000
8850002031715,?????????????????????400??,,,,,66000
13839,???????????????,,,,,36000
13840,???????????????,,,,,36000
13841,??????????????????,,,,,36000
8857121333171,????????,,,,,25000
27615,???????? 6 ???,,,,,120000
13842,?????????,,,,,115000
8850002123441,?????????????????,,,,,30000
8850002123410,???????????????,,,,,55000
8850002123403,??????????????? 12 ???,,,,,595000
8850309205932,??????? 2 ??? 24???,,,,,27000
8885013131956,????????? 100??,,,,,10000
8858839619106,??????,,,,,38000
8850006202012,,,,,,32000
8850006911433,???????????? 150???  6????,,,,,175000
8850006911440,????????????? 6 ????,,,,,152000
8850006232019,???????? 150???,,,,,32000
8850006272015,????????????????????? 150???,,,,,32000
8850006911556,????????????????????? 150???  6????,,,,,185000
8850006917060,????????? 6????,,,,,178000
8850006341544,????????????????? 150???,,,,,35000
8850006925058,????????????????? 150???  6????,,,,,195000
8850006322482,???????????????? 150???,,,,,35000
8850006322512,???????????????? 35???,,,,,10000
8850006274019,???????????????? 35???,,,,,8500
8850006917183,???????????????? 35???  12????,,,,,95000
8850006911570,???????????????? 35???  12????,,,,,80000
8850006324776,???????????????????? 150???  6????,,,,,178000
8850006324776,???????????????????? 150???  6????,,,,,178000
8850338002311,?????????????????,,,,,5000
8850338033490,????????????????? 20????,,,,,60000
8850338002922,????????????,,,,,5000
8850338033469,???????????? 20????,,,,,60000
8859049805181,?????,,,,,45000
8885013131895,?????????,,,,,10000
?????,?????,,,,,4000
8859708300101,??????,,,,,4000
8859708300071,??????,,,,,4000
6942331200589,???????????,,,,,5000
8859708300132,?????????,,,,,4000
8858802803839,??? 22 ???,,,,,23000
8859094605514,??? 28 ???,,,,,36000
8858802806878,??? 32 ???,,,,,50000
8855051160331,??? 7 ???,,,,,30000
8850203364698,????????????? 12 ???,,,,,37000
8850203364698,????????????? 12 ???,,,,,37000
25316,?????? 5 ???,,,,,28000
4897028983158,?????????,,,,,8000
4897028983165,????????? 10???,,,,,65000
4897028983486,?????????,,,,,10000
4897028983493,????????? 10 ???,,,,,95000
8850587000427,???????????,,,,,4000
8850587000434,??????????? 12 ???,,,,,37000
88530208,??????????????????50???,,,,,46000
88531649,??????????????????50???,,,,,56000
88530215,??????????????????100???,,,,,66000
8850007070184,??????????????????100???,,,,,74000
8850007060314,?????????,,,,,38000
4801010504306,????????????125??,,,,,65000
4801010501312,????????????125??,,,,,60000
8801008020401,???????????????????300??,,,,,120000
8854698013994,???????,,,,,13000
11973,??????? 4????,,,,,240000
1*68854698013994,??????? 6???,,,,,61000
8854458009113,??????????,,,,,4000
8854458005047,?????????? 12 ???,,,,,37000
12136,????? ???????? 12????,,,,,30000
12137,?????? 1 ????,,,,,1000
8855720003839,?????????,,,,,26400
8855720003815,???????????,,,,,26400
8855720014002,??????????????,,,,,450000
8855720014170,???????????????,,,,,450000
8855720003846,???????????,,,,,26400
8855720003785,?????????????,,,,,26400
8855720003792,????????,,,,,450000
8853659001131,??????l 12,,,,,170000
8853659001131,??????l 12,,,,,170000
8850425004907,????? ???? 12 ???,,,,,37000
8850425004907,????? ???? 12 ???,,,,,37000
8850425006567,????? ?????,,,,,4000
8850425006574,????? ????? 12 ???,,,,,37000
8992772065184,??????,,,,,40000
8992772064255,?????? 12 ????,,,,,420000
8992772064309,?????? 4 ????,,,,,143000
25901,?????? 4???,,,,,40000
8851932434621,?????????????????????,,,,,1500
0987122,?????????????????????  4???,,,,,40000
0986,????????????????????? 12???,,,,,10000
8851932434669,???????????????????,,,,,1500
08675,??????????????????? 12???,,,,,10000
ssoc1*12*5,??????????????????? 5???,,,,,40000
8851932434645,?????????????????????,,,,,1500
04575,????????????????????? 12???,,,,,12000
ssyc1*12*5,????????????????????? 5???,,,,,40000
12314,?????????????????????? 60??,,,,,13000
8851932354097,?????????????????????? 60?? 6???,,,,,13000
12312,?????????????????????? 60??,,,,,13000
8851932354110,?????????????????????? 60?? 6???,,,,,68000
8851932353861,???????????????????? 400??,,,,,52000
8851932353830,????????????????????400??,,,,,55000
12303,????????????????????400?? 12???,,,,,562000
8851932354912,????????????????????? 400??,,,,,52000
8851932353854,????????????????????? 400??,,,,,52000
12309,????????????????????? 400??  12???,,,,,562000
8851932353823,???????????????????????400??,,,,,50000
12305,???????????????????????400??  12???,,,,,562000
8851932434614,???????????????????,,,,,1500
1*128851932434614,??????????????????? 12???,,,,,12000
12246,??????????????????? 5???,,,,,40000
12245,???????????????????10????,,,,,360000
13852,???????????????????10????,,,,,360000
8851932434652,????????????????????,,,,,1500
12253,???????????????????? 10????,,,,,360000
1*128851932434652,???????????????????? 12???,,,,,10000
5*128851932434652,???????????????????? 5???,,,,,40000
8851932434638,??????????????????????,,,,,1100
12251,??????????????????????  12???,,,,,10000
12249,?????????????????????? 10????,,,,,36000
12250,?????????????????????? 5???,,,,,40000
12316,????????????????????60??,,,,,13000
8851932354080,????????????????????60??  6???,,,,,68000
8850718816194,??????????? 20???,,,,,15000
8850718805365,????????????? 20???,,,,,15000
8851932388672,??????????????? 500 ??,,,,,12000
8851932371025,?????????????? 150 ??,,,,,7000
8851932371094,?????????????? 150 ?? 6  ???,,,,,34000
8851932398954,?????????????? 750 ?? 3  ???,,,,,62000
8851932398954,?????????????? 750 ?? 3  ???,,,,,62000
8851932187428,?????????????????? 500 ??,,,,,12000
8996001375242,??????? ???????,,,,,5000
8996001375259,??????? ??????? 12 ???,,,,,37000
8856548024563,????????????????,,,,,4000
8856548024532,???????????????? 12 ???,,,,,37000
8850511321673,????????????,,,,,28000
8851932366892,????????????,,,,,25000
8859708300040,????????,,,,,4000
8859708300057,???????? 12???,,,,,37000
8850425003948,???????????????,,,,,4000
8850425003955,??????????????? 12 ????,,,,,37000
8850425007274,?????????????????????,,,,,4000
8850425007281,????????????????????? 12 ????,,,,,37000
8854458009564,?????????,,,,,4000
8854458005900,????????? 12 ???,,,,,37000
8856548024556,??????????????????????,,,,,4000
8856548024549,?????????????????????? 12 ???,,,,,37000
8936080650281,??????????????   2 ???,,,,,15000
885013131123,??????????,,,,,10000
8885013130706,??????????????? 100??,,,,,8000
8851932348188,????????????????????,,,,,35000
888501313112?3,??????????????? 50???,,,,,9000
8851008000866,?????????????,,,,,27000
8850038400035,?????????????  600 ml,,,,,38000
8850038400011,????????????????? 150??,,,,,20000
8850124000675,??????????????,,,,,29000
8992772065023,?????????????,,,,,38000
8992772065085,???????????????????,,,,,35000
8850250008132,???????????????,,,,,3000
8850250048138,??????????????? 12???,,,,,22000
8850250058137,??????????????? 5 ????/60???,,,,,115000
8850250008125,????????????,,,,,3000
8850250048121,???????????? 12 ???,,,,,22000
8850250058120,???????????? 5 ????/60???,,,,,115000
8850250058649,??????????????? 5 ????/60???,,,,,115000
8850250008149,?????????????,,,,,3000
8850250048145,????????????? 12???,,,,,22000
8850250058144,????????????? 5 ????/60???,,,,,1005000
8816882022168,????????? 750 ??,,,,,22000
8816880202166,????????? 750 ?? 3  ???,,,,,62000
6956367338680,????????,,,,,13000
8885013131680,???????? 70??,,,,,10000
12115,??????????????????? 24????,,,,,355000
8859313503065,??????????????????????,,,,,22000
18859313503062,?????????????????????? 24????,,,,,445000
8859313502297,??????????????????,,,,,16000
8859313504017,??????????????????????,,,,,20000
18859313504014,?????????????????????? 24????,,,,,435000
8859313505076,????????????????????,,,,,20000
188593,??????????????????????????? 24????,,,,,294000
8851932387798,????????? 320??,,,,,50000
8851932391221,?????????,,,,,30000
8851932221184,???????????????320??,,,,,50000
8850424001631,???????? 20???,,,,,17000
