code,proname,qty,rate,thb_price,price
ກາໂຕະແຕງໂມ,8850624395202,,,,7000
ກາໂຕະສະຕໍບໍລີ່ 6ຕຸກ,8850624395226,,,,33000
ກາໂຕະສະຕໍບໍລີ່ 8ແພັກ,12018,,,,247000
ກາໂຕະສົ້ມ,8850624144343,,,,10000
ກາໂຕະສົ້ມ 6ຕຸກ,8850624293317,,,,35000
ກາໂຕະໝາກໂມ,8850624756355,,,,7000
ກາໂຕະໝາກໂມ 6ຕຸກ,8850624756362,,,,35000
ກາໂຕະແຕງໂມ,8850624395202,,,,7000
ກາໂຕະແຕງໂມ 6ຕຸກ,12022,,,,33000
ກາໂຕະແຕງໂມ 8ແພັກ,12021,,,,247000
ກຳມີ້ແຄນດີ້ລົດຫມາກໄມ້,6938462800491,,,,4000
ກຳມີ້ແຄນດີ້ລົດຫມາກໄມ້ 12 ອັນ,6938462800422,,,,37000
ກຳມີ້ແຄນດີ້ລົດຫມາກໄມ້ລວມ 12 ອັນ,6910289450844,,,,37000
ກຳມີ້ແຄນດີ້ລົດຫມາກໄມ້ລວມ 12 ອັນ,6910289450844,,,,37000
ກຳມີ່ແພນດ້າ,8850425006987,,,,4000
ກຳມີ່ໂລຂຽວ,8859708300644,,,,4000
ກຳມີ່ໂລສະຕໍບໍລີ່,8859708300552,,,,4000
ກຳມີ່ໂລສະຕໍບໍລີ່  12 ຫໍ່,8859708300569,,,,37000
ກີນນີ່ຊາຂຽວ,8859407600441,,,,4000
ກີນນີ່ຊາຂຽວ 12 ຫໍ່,8859407610358,,,,37000
ກີນນີ່ຊີດ,8859407600410,,,,4000
ກີນນີ່ຊີດ 12 ຫໍ່,8859407610327,,,,37000
ກີນນີ່ບູເບີລີ່,8859407600915,,,,4000
ກີນນີ່ບູເບີລີ່ 12 ຫໍ່,8859407610464,,,,37000
ກີນນີ່ສະຕໍ,8859407601011,,,,4000
ກີນນີ່ສະຕໍ 12 ຫໍ່,8859407610488,,,,37000
ກຸກ 1.9ລິດ,8850180010052,,,,75000
ກຸກ 1ລິດ,8850180010045,,,,38000
ຂວດນົມສະຕິກ,6933743301667,,,,4000
ຂວດນົມສະຕິກ 12 ອັນ,6933743301674,,,,37000
ຂອງຫລີ້ນແບບແຜງ 5ບາດ 12 ອັນ,ສ້າງບາໂຄດ,,,,4000
ຂອງຫລີ້ນແບບແຜງ 5ບາດ 12 ອັນ,ສ້າງບາໂຄດ,,,,37000
ຂະໜົມຂວດແຖມແວນ 12 ແກ້ວ,8859334310024,,,,37000
ຂະໜົມຂວດແຖມແວນ 12 ແກ້ວ,8859334310024,,,,37000
ຂະໜົມຕາວັນສາຫລ່າຍ 5ບາດ,8850718807956,,,,4000
ຂະໜົມຕາວັນສາຫລ່າຍ 5ບາດ 12 ຫໍ່,8850718707706,,,,37000
ຂະໜົມຕາວັນຫມຶກສາມລົດ 5ບາດ,8850718804757,,,,4000
ຂະໜົມຕາວັນຫມຶກສາມລົດ 5ບາດ 12 ຫໍ່,8850718704750,,,,40000
ຂະໜົມລວມ 4000ກີບ,25127,,,,4000
ຂະໜົມຫົວໃຈ,6971624841154,,,,4000
ຂະໜົມຫົວໃຈ,8850632609551,,,,4000
ຂະໜົມເຈົ້າຍິງ,8850943531282,,,,5000
ຂະໜົມເຈົ້າຍິງ 12 ຫໍ່,25926,,,,37000
ຂະໜົມເມຈິກສີແດງ 2 ບາດ 24ຖົງ,8850309204317,,,,27000
ຂະໜົມແຫວນ,8859334310000,,,,4000
ຂະໜົມແອັດແລນເຈີ,25931,,,,4000
ຂະໜົມແອັດແລນເຈີ 12 ຫໍ່,25930,,,,37000
ຂະໜົມໂດເລມອນ,8850943537956,,,,4000
ຂະໜົມໂດເລມອນ 12 ຫໍ່,8850943537963,,,,37000
ຂະໜົມໄຂ່ດຳ 12ກ້ອນ,8935006354036,,,,23000
ຂະໝົມລວມ 12ຫໍ່,25255,,,,40000
ສະວີງ,8854458009441,,,,4000
ຂຸ່ຍເມໂລດີ້ 12 ອັນ,8854458009441,,,,37000
ໄຂ່ຫວານ,8850425003573,,,,4000
ໄຂ່ຫວານ 12 ຫໍ່,8850425003580,,,,37000
ຄລີໂອ ນົມ,8850425000237,,,,4000
ຄລີໂອ ນົມ 12 ຫໍ່,8850425000244,,,,37000
ຄອດເນັດໂຕ ຄລາສສິກ ຊັອກໂກເລີບ,8851932115919,,,,17000
ຄອດເນັດໂຕ ຄລາສສິກ ວະນິລາ,8851932028103,,,,17000
ຄອດເນັດໂຕ ຄລາສສິກ ເຢວສະຕໍບໍລີ່,8851932115896,,,,17000
ຄອດເນັດໂຕ ປັອບຄອນ,8851932453776,,,,17000
ຄອດເນັດໂຕຟາຍ,8851932459648,,,,17000
ຄອນຊີນເລີ,6973968621577,,,,25000
ຄອນປັອບ 5ບາດ,8850412374433,,,,4000
ຄອນເນ່ຊີດ 20ບາດ,8851727003254,,,,17000
ຄອນເນ່ດັ້ງເດີມ 20ບາດ,8851727003056,,,,17000
ຄອນເນີ່ລົດຊີດ  5ບາດ,8851727003216,,,,4000
ຄອນເນີ່ລົດຊີດ 5ບາດ 12 ຫໍ່,8851727903219,,,,42000
ຄອນເນີ່ລົດດັ້ງເດີມ  5ບາດ,8851727003018,,,,4000
ຄອນເນີ່ລົດດັ້ງເດີມ 5ບາດ 12 ຫໍ່,8851727903011,,,,42000
ຄອບຂຽວ 20ບາດ,8850424002379,,,,15000
ຄອບດຳ  5ບາດ,8850424000764,,,,4000
ຄອບດຳ  5ບາດ 12 ຫໍ່,88850424000764,,,,37000
ຄອບດຳ 20ບາດ,8850424001679,,,,15000
ຄອບຟ້າ  5ບາດ 12,8850424000849,,,,4000
ຄອບຟ້າ  5ບາດ 12 ຫໍ່,88850424000849,,,,37000
ຄອບຟ້າ 20ບາດ,8850424002096,,,,15000
ຄອມຟອດຊາກຸລະ 12ຊອງ,02345,,,,14000
ຄອມຟອດຊາກຸລະ 1ຊອງ,8851932447942,,,,2000
ຄອມຟອດຊາກຸລະ 24ຊອງ,8851932448048,,,,25000
ຄອມຟອດນ້ຳດຽວເທລະພີ 12ຊອງ,04567,,,,14000
ຄອມຟອດນ້ຳດຽວເທລະພີ 24ຊອງ,8851932300698,,,,25000
ຄອມຟອດບົວຟໍລັດເຟດ,8851932363747,,,,2000
ຄອມຟອດບົວຟໍລັດເຟດ 12 ຊອງ,25009,,,,25000
ຄອມຟອດບົວຟໍລັດເຟດ 12ຊອງ,12227,,,,14000
ຄອມຟອດບົວຟໍລັດເຟດ 24ຊອງ,8851932363761,,,,28000
ຄອມຟອດບົວຟໍລັດເຟດ12 ແພັກ,12225,,,,283000
ຄອມຟອດຟ້າເດລີ່ເຟດ,8851932363730,,,,2000
ຄອມຟອດຟ້າເດລີ່ເຟດ 12 ແພັກ,12229,,,,295000
ຄອມຟອດຟ້າເດລີ່ເຟດ 12ຊອງ,12231,,,,14000
ຄອມຟອດຟ້າເດລີ່ເຟດ 12ຊອງ,25024,,,,14000
ຄອມຟອດຟ້າເດລີ່ເຟດ 24ຊອງ,8851932363754,,,,28000
ຄອມຟອດອາໂຣມາເທລະພີ່,8851932300681,,,,2000
ຄອມຟອດອາໂຣມາເທລະພີ່ 12 ແພັກ,12233,,,,283000
ຄອມຟອດອາໂຣມາເທລະພີ່ 12ຊອງ,12235,,,,14000
ຄອມຟອດອາໂຣມາເທລະພີ່ 24ຊອງ,12234,,,,26000
ຄອມຟອດເດຊີ່ແລະລິນລີ່,8851932447935,,,,2000
ຄອມຟອດເດຊີ່ແລະລິນລີ່ 12ຊອງ,12243,,,,14000
ຄອມຟອດເດຊີ່ແລະລິນລີ່ 24ຊອງ,8851932448031,,,,26000
ຄອມຟອດແກລມເມີລັດ,8851932363549,,,,25000
ຄອມຟອດແກລມເມີລັດ 1 ຊອງ,8851932363433,,,,2000
ຄອມຟອດແກລມເມີລັດ 12 ຊອງ,47878,,,,14000
ຄອມຟອດແອນຊານ,8851932363365,,,,2000
ຄອມຟອດແອນຊານ 12ຊອງ,12239,,,,14000
ຄອມຟອດແອນຊານ 12ແພັກ,12237,,,,283000
ຄອມຟອດແອນຊານ 24ຊອງ,8851932363495,,,,26000
ຄອມຟອດແອັກທີບເຟດ,8851932411639,,,,2000
ຄອມຟອດແອັກທີບເຟດ 12ແພັກ,12221,,,,283000
ຄອມຟອດແອັກທີບເຟດ 24ຊອງ,8851932411714,,,,26000
ຄອມຟອດແອັກທີບເຟດ12ຊອງ,12223,,,,14000
ຄະນໍ 100ກັມ,8850144229247,,,,12000
ຄະນໍ 17ກັມ,8850144229223,,,,4000
ຄະນໍ 17ກັມ 12 ຫໍ່,24947,,,,27000
ຄະນໍ 425ກັມ,8850144229254,,,,40000
ຄະນໍ 7 ກັມ 10 ຖົງ,8850250011026,,,,70000
ຄະນໍ 800ກັມ,8850144229261,,,,72000
ຄະນໍກ້ອນຕົ້ມຈືດ,8850144206392,,,,5000
